index,x,y,z,Date,cluster,Person
MSS375,2.4068277,7.6857166,10.299257,2006,1,Manmohan Singh
MSS377,2.5998104,9.630805,10.512132,2006,0,Manmohan Singh
MSS378,0.9881412,6.9658422,9.507983,2006,1,Manmohan Singh
MSS379,2.9086802,9.561835,7.2371435,2006,4,Manmohan Singh
MSS380,3.492697,9.26573,7.1499724,2006,4,Manmohan Singh
MSS381,2.5002441,10.087565,7.7190166,2006,0,Manmohan Singh
MSS382,2.3398044,10.025287,7.600163,2006,0,Manmohan Singh
MSS383,2.478708,9.795931,7.599063,2006,0,Manmohan Singh
MSS384,2.8706746,9.088325,6.856216,2006,4,Manmohan Singh
MSS385,2.540969,10.520384,8.856772,2006,0,Manmohan Singh
MSS386,2.2413833,9.885803,9.117242,2006,0,Manmohan Singh
MSS387,1.2251598,9.75425,9.242474,2006,0,Manmohan Singh
MSS388,1.7239898,9.968354,8.647859,2006,0,Manmohan Singh
MSS389,3.7694213,9.889583,9.78417,2006,3,Manmohan Singh
MSS390,2.3447678,9.87651,8.012261,2006,0,Manmohan Singh
MSS391,2.3531115,10.231144,9.803389,2006,0,Manmohan Singh
MSS392,2.6124704,9.231601,10.208331,2006,4,Manmohan Singh
MSS393,1.8013366,9.571516,9.894535,2006,0,Manmohan Singh
MSS394,1.6736147,9.391171,10.462072,2006,0,Manmohan Singh
MSS395,2.5142674,10.324846,9.826346,2006,0,Manmohan Singh
MSS396,3.482831,10.394982,7.5344906,2006,3,Manmohan Singh
MSS397,2.086574,10.206713,9.726355,2006,0,Manmohan Singh
MSS398,3.2407057,9.132631,7.921502,2006,4,Manmohan Singh
MSS399,4.2403607,10.269926,7.611835,2006,3,Manmohan Singh
MSS400,2.508167,9.53909,9.980483,2006,0,Manmohan Singh
MSS401,2.1370902,7.7308397,10.22763,2006,1,Manmohan Singh
MSS402,2.36299,7.3635206,9.777046,2006,1,Manmohan Singh
MSS403,1.0111082,8.593252,9.229145,2006,2,Manmohan Singh
MSS404,0.8734286,8.9119425,9.3520565,2006,2,Manmohan Singh
MSS405,1.9302094,7.1025696,8.215048,2006,1,Manmohan Singh
MSS406,1.794204,9.946732,8.650269,2006,0,Manmohan Singh
MSS407,3.5437827,10.489114,7.6006904,2006,3,Manmohan Singh
MSS408,1.6874946,8.901288,9.779262,2006,2,Manmohan Singh
